pixel count,r,g,b
213,93,220,248
2801,82,165,235
3862,171,215,232
3013,191,137,224
12047,216,214,217
3413,216,209,215
1567,255,178,209
4,0,134,195
626,255,133,193
265,178,63,192
223,0,158,188
8586,186,184,185
8923,130,96,177
7276,239,209,174
772,139,52,173
462,80,255,161
153,0,91,161
291,0,203,151
9410,153,153,151
1929,207,97,140
2322,255,186,139
3065,254,213,135
6587,240,214,127
1973,255,147,126
21,18,34,126
10287,70,75,123
224,17,33,121
1446,255,162,119
381,228,67,116
2730,70,35,109
662,0,113,108
2368,255,118,97
3153,226,232,94
3596,197,218,86
2474,252,187,83
277,255,68,82
420,0,117,81
36,255,183,76
3226,248,181,74
9236,220,178,70
63,255,165,69
51,51,8,68
1010,255,157,67
113,0,184,66
1879,187,48,65
715,237,33,64
13265,173,150,62
1014,255,124,61
4847,224,86,60
9398,102,58,56
41,255,73,53
5067,160,65,53
2000,255,86,48
245,0,86,44
367,252,39,40
2393,36,34,39
54,147,16,38
26344,32,32,34
207,232,0,34
525,216,0,33
944,152,19,29
4605,147,47,28
2742,80,30,19
